x_cord,y_cord,duration,eye_event
199.45214425536048,196.7242944200584,300,fixation
289.2679165839233,197.0152907470696,250,fixation
407.53359053558773,157.5879904237393,200,fixation
552.844282909719,188.5307141164523,150,fixation
639.8350858183661,129.87817637584425,450,fixation
773.2668781353754,137.83403514687828,100,fixation
831.5392379679603,181.64601001078708,150,fixation
878.609057682757,157.26182263201233,150,fixation
935.5399176096784,174.3820254187232,100,fixation
990.0143654718137,168.72759220464812,150,fixation
182.8399048702615,221.8769833545479,350,fixation
311.47934937624,196.5529699935149,150,fixation
435.9059923792818,252.28396176150267,450,fixation
565.8748439592971,279.9363340136616,500,fixation
703.3639980214506,239.45219496026147,150,fixation
746.2953820192357,211.75998348182335,150,fixation
891.9663249291449,219.58528699534767,450,fixation
973.0045458993319,178.30748749355664,100,fixation
210.5378941665312,288.08948689214157,300,fixation
329.4029154620518,212.9809693553089,150,fixation
366.51124077089753,234.92925758620248,450,fixation
579.1546263606464,222.50735680728695,500,fixation
706.7645893885904,222.0089955305368,150,fixation
879.2605555294963,213.06620142771214,450,fixation
986.7159140923446,185.97311878246504,100,fixation
164.50636680102392,279.67985759948084,150,fixation
237.80358425574934,297.31818444500163,300,fixation
341.35526837094415,295.6996242665447,300,fixation
434.0158336011179,240.77270235826293,200,fixation
486.06200221215755,261.0068351281009,100,fixation
633.8691305047977,269.07141413032036,400,fixation
797.4699469030027,307.39719801948485,300,fixation
923.3745642345983,283.17817224839473,200,fixation
1026.2660534025968,254.45176502481348,100,fixation
166.54368275606575,315.4386299977913,200,fixation
271.8696645181669,300.0111785907115,250,fixation
362.4147508506608,339.0585730363471,300,fixation
480.70411915872745,320.71797967194044,300,fixation
600.0617868018421,347.72052862266213,200,fixation
661.4060090658102,348.52265395179745,200,fixation
240.18633946094775,330.3194402589649,250,fixation
370.51767002610825,333.61365470896027,300,fixation
504.70353682100347,328.8889811598258,300,fixation
699.2648019949431,323.9386585739771,200,fixation
746.6510939301077,291.9247456646338,250,fixation
825.3988894800539,307.43577056496684,200,fixation
958.1559757194061,253.1150759891633,200,fixation
143.3845149688346,351.8779169621091,200,fixation
264.48585771876265,297.4779932529678,250,fixation
328.93739723788167,294.75171305221534,300,fixation
419.9330975194672,346.106521800655,300,fixation
582.5513260008612,336.94760129029163,200,fixation
761.3337069486619,313.3082924713715,250,fixation
845.1984334175651,340.4958981953864,200,fixation
901.5001436826869,279.23451981632326,100,fixation
954.1086584571165,333.57934426479414,250,fixation
154.25813949579833,351.3276265964218,200,fixation
269.7345099061369,350.31610483745555,150,fixation
290.51716622201803,363.44651082188295,250,fixation
379.03313450528316,384.36163948785156,400,fixation
565.0931105739737,412.50351800581274,450,fixation
652.4467259188734,358.4248514412569,200,fixation
835.0941901437266,343.36136960837797,500,fixation
918.6423401773768,334.70485376423846,200,fixation
999.4578394578488,357.951551053408,150,fixation
160.57861688048223,411.6754192740021,400,fixation
360.0091262733391,412.25311642804445,400,fixation
443.08331084454124,436.5823390560932,200,fixation
572.1123615408801,408.18878265209446,200,fixation
650.7142105945468,403.3998337061544,200,fixation
738.0545654601955,392.1952389994458,450,fixation
