x_cord,y_cord,duration,eye_event
159.54311262467516,163.4193586919364,300,fixation
313.23930844058,163.94054033377316,250,fixation
402.2825307081132,201.10444146269072,200,fixation
469.5920965952657,133.12485669412408,150,fixation
568.6635053360985,143.02123712090994,150,fixation
652.583462759011,184.18665585516175,450,fixation
801.7043846108311,200.89885681225368,100,fixation
815.8545902410089,208.13387339003677,150,fixation
1004.871758059324,214.8913141466204,150,fixation
150.42083730575396,248.58696548160805,350,fixation
432.4073463104011,198.34657322767464,450,fixation
547.2997633942604,208.52997799330248,500,fixation
691.3976754723227,204.4289706738766,150,fixation
792.1167221017515,209.08357225563816,150,fixation
934.9984576771799,213.62755198366673,450,fixation
1031.1180339183486,209.22305569712606,100,fixation
132.0851673260313,262.8459674701838,150,fixation
234.7496849782962,300.5630127071847,300,fixation
317.91290368312184,244.91962514275045,300,fixation
519.6401266280126,271.40325434304566,100,fixation
562.447312307499,261.1940535008576,150,fixation
602.4218826247119,301.32228186037344,400,fixation
817.7546647903782,252.5489617989217,300,fixation
865.9035686612583,262.1636393538163,100,fixation
924.1525501929378,307.47972563003503,200,fixation
1005.8895733818633,273.4683849284505,100,fixation
269.16214548186804,316.932885077303,250,fixation
372.2138739201432,284.04856069317884,300,fixation
474.86696347070585,343.1760231328057,300,fixation
559.2146681285712,305.92196483603107,200,fixation
698.4698766244902,279.8608349311692,200,fixation
790.3709345851395,357.7567650140408,250,fixation
810.0411397656177,303.5082274391749,200,fixation
915.8471528734315,314.75769674229974,100,fixation
936.5233281041579,336.5846980849998,250,fixation
160.85575935450703,363.9666286770046,200,fixation
514.143033995908,306.04914487844087,300,fixation
602.3910756674619,280.997637937835,200,fixation
642.3682189562705,288.70236953030746,200,fixation
748.8890346647177,313.4142048519687,250,fixation
266.78908867956966,297.6428710012267,250,fixation
358.0376845009969,353.5224378894107,300,fixation
425.8538363686233,323.57276105014563,300,fixation
572.9666545589929,315.0188335367878,200,fixation
658.3304472967164,302.51704701802714,200,fixation
762.7828735925979,313.5713262034894,250,fixation
836.4357688525536,302.25466224104326,200,fixation
887.2221386970061,317.76846895605007,100,fixation
963.6329474795806,315.9473255051401,250,fixation
192.29322901298877,349.3507471779845,150,fixation
329.0566213847296,367.9751115064099,250,fixation
450.0695321002461,378.9008085202207,400,fixation
574.1726325173842,365.21201523042447,450,fixation
687.6875594794448,362.4102376955621,200,fixation
823.2981397982089,344.54387722945097,500,fixation
1014.8425908463021,350.66572866167496,150,fixation
185.38078175989293,414.5785989157654,400,fixation
374.24923558964116,416.73936314174614,400,fixation
488.92575051855135,422.1298369388091,200,fixation
655.0140005594859,397.7106610604314,200,fixation
719.2847466432853,421.24645872789563,450,fixation
