x_cord,y_cord,duration,eye_event
205.12061660819938,148.65408043348236,300.0,fixation
309.57291073986653,139.47570022646013,250.0,fixation
377.64408788454176,171.77981094458661,200.0,fixation
510.9384457751563,173.58713193703278,150.0,fixation
675.0929124331597,101.35117665764166,450.0,fixation
785.0640023489948,186.67134403418453,100.0,fixation
835.7662562726413,182.95184376542628,150.0,fixation
954.5060902472758,91.26484240422246,100.0,fixation
1082.859951702789,161.02047784750482,150.0,fixation
194.24048374836795,240.37743198652322,350.0,fixation
328.7224811964346,182.0787910686921,150.0,fixation
435.76150399280107,221.06778759932587,450.0,fixation
593.6646561988232,200.88527698134777,500.0,fixation
667.6913338606505,205.04727600424835,150.0,fixation
796.8921071367041,235.76627209426627,150.0,fixation
899.6718971987298,207.40738436591838,450.0,fixation
985.4098468207278,188.0560663071467,100.0,fixation
214.82941186387643,289.8613954960633,300.0,fixation
346.33885284268473,243.93106084092588,300.0,fixation
427.9392406776581,254.76050324018138,200.0,fixation
629.9164598792769,254.5685620933227,400.0,fixation
746.0944419472887,279.7223455769143,300.0,fixation
867.6325773439908,248.89891846357435,100.0,fixation
965.7798760115263,232.7226097402579,200.0,fixation
1008.8335879414867,247.67413597156173,100.0,fixation
404.86266453743866,285.55975722302355,200.0,fixation
492.107422103799,278.3834499422897,100.0,fixation
553.3964327537124,278.0100945434631,150.0,fixation
665.5454603883702,271.7099567054281,400.0,fixation
750.4691871343198,283.36845477814205,300.0,fixation
980.4101094012364,193.26492254125154,100.0,fixation
155.91854775225372,284.35506775037913,150.0,fixation
242.9604860265535,262.62200987747997,300.0,fixation
314.4230966290458,269.5761271027491,300.0,fixation
424.5584977262652,279.3751289963407,200.0,fixation
558.5991099704974,301.83630893134125,150.0,fixation
873.9804835915448,222.36017398432406,450.0,fixation
995.5277768704062,195.85344957777514,100.0,fixation
155.3294091918805,239.28844507860487,150.0,fixation
234.06795040100346,278.40515908525794,300.0,fixation
322.8298339122533,258.11921450390247,300.0,fixation
421.7705734886662,282.36990485079446,200.0,fixation
512.9881788354729,250.62999261510237,100.0,fixation
631.5161426502821,282.3557216335451,400.0,fixation
790.8783912819258,271.1136360415431,300.0,fixation
899.2630007876436,299.7381503048472,100.0,fixation
903.4015870392478,263.42209501211244,200.0,fixation
1072.5989619846869,257.76429464562676,100.0,fixation
186.40560483324748,342.08041693239886,200.0,fixation
240.77112813923299,291.54628050239603,250.0,fixation
331.8719881421572,348.9503925188383,300.0,fixation
489.3679490076883,354.2501959718167,300.0,fixation
586.7665136322275,304.04355929654065,200.0,fixation
742.9856311926459,305.5483304237233,250.0,fixation
1001.1693726339636,320.5109712126413,250.0,fixation
239.7028296905684,378.95908716225387,150.0,fixation
325.6008327173504,352.235366757204,250.0,fixation
395.3903006057261,349.41628811310363,400.0,fixation
551.5806057074232,332.02470000322097,450.0,fixation
658.069035651622,314.4384824639307,200.0,fixation
807.092176617149,363.64928348416214,500.0,fixation
964.4894457673115,337.7972174795029,200.0,fixation
197.58703373820688,382.1620591198169,400.0,fixation
326.46573952896654,408.28793516928204,400.0,fixation
509.8519819800559,401.01378973379974,200.0,fixation
659.8777098299694,414.81271530434987,200.0,fixation
758.8695389729235,379.7887729092594,450.0,fixation
